2017-10-27 21:59:23.800 INFO  DefaultFactory Logging to 'E:\Development Zone\GitHub\RetailDemo\Shipping\bin\Debug\' with level Info
2017-10-27 21:59:23.986 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '10/27/2017'

2017-10-27 21:59:24.017 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RingMaster-PC\chisty' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RingMaster-PC\chisty" /add
2017-10-27 21:59:24.064 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 21:59:24.069 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 21:59:24.078 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 21:59:41.435 INFO  Shipping.OrderPlacedHandler Received OrderPlaced, Order Id= 5360cde9-9136-4b88-9d72-8048455217d6 - Charging credit card...
2017-10-27 22:01:29.410 INFO  DefaultFactory Logging to 'E:\Development Zone\GitHub\RetailDemo\Shipping\bin\Debug\' with level Info
2017-10-27 22:01:29.649 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '10/27/2017'

2017-10-27 22:01:29.684 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RingMaster-PC\chisty' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RingMaster-PC\chisty" /add
2017-10-27 22:01:29.755 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:01:29.765 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:01:29.775 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:01:46.095 INFO  Shipping.OrderPlacedHandler Received OrderPlaced, Order Id= 28a24563-38b9-41ca-a5a9-2f0b6aeaa8a3 - Charging credit card...
2017-10-27 22:01:46.173 INFO  Shipping.OrderPlacedHandler Received OrderBilled, Order Id= 28a24563-38b9-41ca-a5a9-2f0b6aeaa8a3 - Taking to Checkout...
2017-10-27 22:01:58.250 INFO  Shipping.OrderPlacedHandler Received OrderPlaced, Order Id= 5db12c03-01c2-4646-ad7a-5c136a6b0574 - Charging credit card...
2017-10-27 22:01:58.276 INFO  Shipping.OrderPlacedHandler Received OrderBilled, Order Id= 5db12c03-01c2-4646-ad7a-5c136a6b0574 - Taking to Checkout...
2017-10-27 22:02:16.012 INFO  Shipping.OrderPlacedHandler Received OrderPlaced, Order Id= 5c46359f-0290-4840-aa7a-7368770a143d - Charging credit card...
